"RecipID","DonorID","Population","OG","GrpType_Recip","Version","Amount_Given","Good_DR","Good_OthR","Rich_DR","Rich_OthR","Trust_DR","Trust_OthR","Friend_DR","Friend_OthR","Perceived_Benefits","Perceived_Costs","Stereotypes","Age","AgeDiff","Agreeable","Married","Nonanonymous_Play","Extraverted","Ill_This_Mo","Income_zscore","Can_Stay","log_Subj_SES","Market_Items_zscore","PlacesLived","Risk_Aversion","Years_Education","Self","Shortfall_Summary","Sex_Male","Times_Church_Mo","Visited_zscore","Coop_Labor","Media_zscore","Edad","GrpKnown","Date.Time2","TV","Car","Decision_Index"
23,3,"Intercultural",1,"Ethnic","D",1,"2",1.53846153846154,"2",1.30769230769231,"2",1.28,1,0.321428571428571,,,"",20,-8,5,FALSE,TRUE,7,0,-2.18751869875598,1,1.50407739677627,1.70682446153781,4,7,12,5,-0.650157115802942,TRUE,1,2.24174609343676,0,1.55791689331808,40,"","2014-11-24 15:54:00",1,1,3
25,3,"Intercultural",1,"Ethnic","D",2,"2",1.36363636363636,"2",1.54545454545455,"2",1.09090909090909,1,0.333333333333333,,,"",20,18,5,FALSE,TRUE,7,0,-2.18751869875598,1,1.50407739677627,1.70682446153781,4,7,12,5,-0.650157115802942,TRUE,1,2.24174609343676,0,1.55791689331808,40,"","2014-11-24 15:54:00",1,1,4
76,3,"Intercultural",3,"Ethnic","D",2,"2",1.63636363636364,"2",2,"2",1.64285714285714,1,0.571428571428571,,,"",20,18,5,FALSE,TRUE,7,0,-2.18751869875598,1,1.50407739677627,1.70682446153781,4,7,12,5,-0.650157115802942,TRUE,1,2.24174609343676,0,1.55791689331808,40,"","2014-11-24 15:54:00",1,1,5
70,3,"Intercultural",3,"Ethnic","D",2,"2",1.66666666666667,"1",1.5,"2",1.5,1,0.666666666666667,,,"",20,-6,5,FALSE,TRUE,7,0,-2.18751869875598,1,1.50407739677627,1.70682446153781,4,7,12,5,-0.650157115802942,TRUE,1,2.24174609343676,0,1.55791689331808,40,"","2014-11-24 15:54:00",1,1,6
76,4,"Intercultural",3,"Ethnic","D",3,"2",1.63636363636364,"2",2,"2",1.64285714285714,0,0.642857142857143,"Btwn bens","Btwn costs","Negative",20,18,11,TRUE,TRUE,8,0,-0.533658052784345,0,0.693147180559945,-0.541177623672114,7,8,12,1,1.7478832238244,TRUE,0,-0.604166132410195,0,-0.756640479286916,42,"Some","2014-12-08 02:09:00",1,0,1
96,4,"Intercultural",3,"Ethnic","D",5,"1",1.92857142857143,"2",1.14285714285714,"1",1.53333333333333,0,0.6,"Btwn bens","Btwn costs","Negative",20,6,11,TRUE,TRUE,8,0,-0.533658052784345,0,0.693147180559945,-0.541177623672114,7,8,12,1,1.7478832238244,TRUE,0,-0.604166132410195,0,-0.756640479286916,42,"Some","2014-12-08 02:09:00",1,0,2
70,4,"Intercultural",3,"Ethnic","D",5,"1",1.83333333333333,"2",1.33333333333333,"1",1.66666666666667,0,0.833333333333333,"Btwn bens","Btwn costs","Negative",20,-8,11,TRUE,TRUE,8,0,-0.533658052784345,0,0.693147180559945,-0.541177623672114,7,8,12,1,1.7478832238244,TRUE,0,-0.604166132410195,0,-0.756640479286916,42,"Some","2014-12-08 02:09:00",1,0,3
25,4,"Intercultural",1,"Ethnic","D",3,"0",1.36363636363636,"2",1.54545454545455,"2",1.09090909090909,0,0.333333333333333,,,"",20,18,11,TRUE,TRUE,8,0,-0.533658052784345,0,0.693147180559945,-0.541177623672114,7,8,12,1,1.7478832238244,TRUE,0,-0.604166132410195,0,-0.756640479286916,42,"","2014-12-08 02:09:00",1,0,4
35,4,"Intercultural",1,"Ethnic","D",2,"2",1.16666666666667,"2",1.125,"0",1.16,0,0.333333333333333,,,"",20,5,11,TRUE,TRUE,8,0,-0.533658052784345,0,0.693147180559945,-0.541177623672114,7,8,12,1,1.7478832238244,TRUE,0,-0.604166132410195,0,-0.756640479286916,42,"","2014-12-08 02:09:00",1,0,5
23,4,"Intercultural",1,"Ethnic","D",2,"2",1.53846153846154,"2",1.30769230769231,"0",1.28,0,0.321428571428571,,,"",20,-10,11,TRUE,TRUE,8,0,-0.533658052784345,0,0.693147180559945,-0.541177623672114,7,8,12,1,1.7478832238244,TRUE,0,-0.604166132410195,0,-0.756640479286916,42,"","2014-12-08 02:09:00",1,0,6
113,5,"Intercultural",3,"Ethnic","B",2,"2",1.375,"2",1.5,"2",1.22222222222222,0,0.666666666666667,,,"",20,6,9,TRUE,TRUE,6,0,0.00651284296522527,1,0.405465108108164,1.79607921271108,5,4,7,1,0.728647888165094,TRUE,4,-0.166333482279894,0,-0.81309309813094,40,"","2014-11-20 02:29:00",1,1,1
35,5,"Intercultural",1,"Ethnic","B",2,"2",1.16666666666667,"2",1.125,"2",1.16,0,0.333333333333333,"Btwn bens","Btwn costs","",20,7,9,TRUE,TRUE,6,0,0.00651284296522527,1,0.405465108108164,1.79607921271108,5,4,7,1,0.728647888165094,TRUE,4,-0.166333482279894,0,-0.81309309813094,40,"","2014-11-20 02:29:00",1,1,2
23,5,"Intercultural",1,"Ethnic","B",2,"2",1.53846153846154,"2",1.30769230769231,"2",1.28,1,0.321428571428571,"Btwn bens","Btwn costs","",20,-8,9,TRUE,TRUE,6,0,0.00651284296522527,1,0.405465108108164,1.79607921271108,5,4,7,1,0.728647888165094,TRUE,4,-0.166333482279894,0,-0.81309309813094,40,"","2014-11-20 02:29:00",1,1,3
86,5,"Intercultural",3,"Ethnic","B",6,"2",1.3,"1",1.6,"2",1.2,0,0.5,,,"",20,18,9,TRUE,TRUE,6,0,0.00651284296522527,1,0.405465108108164,1.79607921271108,5,4,7,1,0.728647888165094,TRUE,4,-0.166333482279894,0,-0.81309309813094,40,"","2014-11-20 02:29:00",1,1,4
70,5,"Intercultural",3,"Ethnic","B",2,"2",1.66666666666667,"2",1.33333333333333,"2",1.5,1,0.666666666666667,,,"",20,-6,9,TRUE,TRUE,6,0,0.00651284296522527,1,0.405465108108164,1.79607921271108,5,4,7,1,0.728647888165094,TRUE,4,-0.166333482279894,0,-0.81309309813094,40,"","2014-11-20 02:29:00",1,1,5
25,5,"Intercultural",1,"Ethnic","B",6,"2",1.36363636363636,"2",1.54545454545455,"2",1.09090909090909,1,0.333333333333333,"Btwn bens","Btwn costs","",20,18,9,TRUE,TRUE,6,0,0.00651284296522527,1,0.405465108108164,1.79607921271108,5,4,7,1,0.728647888165094,TRUE,4,-0.166333482279894,0,-0.81309309813094,40,"","2014-11-20 02:29:00",1,1,6
74,6,"Intercultural",3,"Religion","A",0,"2",1.71428571428571,"2",1.42857142857143,"2",1.5,0,0.571428571428571,"Btwn bens","Within costs","",20,-15,11,TRUE,FALSE,8,0,0.141885744711756,1,1.94591014905531,1.67345216938569,1,9,12,15,1.02874388720693,FALSE,2,-0.166333482279894,0,0.767580229501738,40,"Many","2014-12-01 11:57:00",1,1,1
115,6,"Intercultural",1,"Religion","A",6,"2",0.615384615384615,"1",1.38461538461538,"2",0.785714285714286,0,0.285714285714286,"Within bens","None","Negative",20,-6,11,TRUE,FALSE,8,0,0.141885744711756,1,1.94591014905531,1.67345216938569,1,9,12,15,1.02874388720693,FALSE,2,-0.166333482279894,0,0.767580229501738,40,"Yes","2014-12-01 11:57:00",1,1,2
85,6,"Intercultural",3,"Religion","A",0,"0",1.53846153846154,"0",1.15384615384615,"0",1.23076923076923,0,0.153846153846154,"Btwn bens","Within costs","",20,-7,11,TRUE,FALSE,8,0,0.141885744711756,1,1.94591014905531,1.67345216938569,1,9,12,15,1.02874388720693,FALSE,2,-0.166333482279894,0,0.767580229501738,40,"Many","2014-12-01 11:57:00",1,1,3
114,6,"Intercultural",1,"Religion","A",0,"0",1.53846153846154,"2",1.38461538461538,"2",1.16666666666667,0,0.307692307692308,"Within bens","None","Negative",20,-11,11,TRUE,FALSE,8,0,0.141885744711756,1,1.94591014905531,1.67345216938569,1,9,12,15,1.02874388720693,FALSE,2,-0.166333482279894,0,0.767580229501738,40,"Yes","2014-12-01 11:57:00",1,1,4
108,6,"Intercultural",3,"Religion","A",0,"2",1.72,"2",1.84,"2",1.48,0,0.48,"Btwn bens","Within costs","",20,-8,11,TRUE,FALSE,8,0,0.141885744711756,1,1.94591014905531,1.67345216938569,1,9,12,15,1.02874388720693,FALSE,2,-0.166333482279894,0,0.767580229501738,40,"Many","2014-12-01 11:57:00",1,1,5
93,6,"Intercultural",1,"Religion","A",0,"2",1.45,"2",1.7,"2",1,0,0.45,"Within bens","None","Negative",20,-10,11,TRUE,FALSE,8,0,0.141885744711756,1,1.94591014905531,1.67345216938569,1,9,12,15,1.02874388720693,FALSE,2,-0.166333482279894,0,0.767580229501738,40,"Yes","2014-12-01 11:57:00",1,1,6
72,7,"Intercultural",1,"Religion","B",4,"2",1.8,"2",1.77777777777778,"2",1.45454545454545,1,0.727272727272727,"Relig bens","Bad","Neutral",30,2,9,TRUE,FALSE,6,0,-0.338522967583859,1,1.50407739677627,-0.000614557774859153,3,4,10,5,-1.14446160576037,TRUE,0,1.80391344330646,0,0.767580229501738,47,"Yes","2014-10-28 00:43:00",1,0,1
35,7,"Intercultural",2,"Religion","B",1,"2",1.1304347826087,"1",1.1304347826087,"2",1.125,1,0.307692307692308,,,"",30,0,9,TRUE,FALSE,6,0,-0.338522967583859,1,1.50407739677627,-0.000614557774859153,3,4,10,5,-1.14446160576037,TRUE,0,1.80391344330646,0,0.767580229501738,47,"","2014-10-28 00:43:00",1,0,2
100,7,"Intercultural",1,"Religion","B",4,"1",1.66666666666667,"2",1.2,"1",1.5,0,0.666666666666667,"Relig bens","Bad","Neutral",30,-4,9,TRUE,FALSE,6,0,-0.338522967583859,1,1.50407739677627,-0.000614557774859153,3,4,10,5,-1.14446160576037,TRUE,0,1.80391344330646,0,0.767580229501738,47,"Yes","2014-10-28 00:43:00",1,0,3
96,7,"Intercultural",1,"Religion","B",5,"2",1.86666666666667,"2",1.2,"2",1.5,1,0.5625,"Relig bens","Bad","Neutral",30,1,9,TRUE,FALSE,6,0,-0.338522967583859,1,1.50407739677627,-0.000614557774859153,3,4,10,5,-1.14446160576037,TRUE,0,1.80391344330646,0,0.767580229501738,47,"Yes","2014-10-28 00:43:00",1,0,4
116,7,"Intercultural",2,"Religion","B",1,"1",1.6,"1",1.1,"1",1.5,0,0.636363636363636,,,"",30,2,9,TRUE,FALSE,6,0,-0.338522967583859,1,1.50407739677627,-0.000614557774859153,3,4,10,5,-1.14446160576037,TRUE,0,1.80391344330646,0,0.767580229501738,47,"","2014-10-28 00:43:00",1,0,5
101,7,"Intercultural",2,"Religion","B",1,"1",1.7,"2",1.8,"1",1.72727272727273,0,0.727272727272727,,,"",30,-1,9,TRUE,FALSE,6,0,-0.338522967583859,1,1.50407739677627,-0.000614557774859153,3,4,10,5,-1.14446160576037,TRUE,0,1.80391344330646,0,0.767580229501738,47,"","2014-10-28 00:43:00",1,0,6
82,8,"Intercultural",3,"Ethnic","F",0,"2",1.375,"2",1.14285714285714,"2",1.25,1,0.222222222222222,,,"",30,-21,1,TRUE,TRUE,4,0,-0.875061907432913,1,0,-0.525888071249011,5,4,5,9,-0.0499651177192661,TRUE,4,-0.604166132410195,0,-0.700187860442891,52,"","2014-11-01 11:54:00",1,0,1
35,8,"Intercultural",1,"Ethnic","F",0,"0",1.16666666666667,"2",1.125,"2",1.16,1,0.333333333333333,"Btwn bens","Btwn costs","",30,-5,1,TRUE,TRUE,4,0,-0.875061907432913,1,0,-0.525888071249011,5,4,5,9,-0.0499651177192661,TRUE,4,-0.604166132410195,0,-0.700187860442891,52,"Yes","2014-11-01 11:54:00",1,0,2
23,8,"Intercultural",1,"Ethnic","F",0,"2",1.53846153846154,"2",1.30769230769231,"2",1.28,1,0.321428571428571,"Btwn bens","Btwn costs","",30,-20,1,TRUE,TRUE,4,0,-0.875061907432913,1,0,-0.525888071249011,5,4,5,9,-0.0499651177192661,TRUE,4,-0.604166132410195,0,-0.700187860442891,52,"Yes","2014-11-01 11:54:00",1,0,3
113,8,"Intercultural",3,"Ethnic","F",0,"0",1.625,"2",1.5,"2",1.22222222222222,1,0.555555555555556,,,"",30,-6,1,TRUE,TRUE,4,0,-0.875061907432913,1,0,-0.525888071249011,5,4,5,9,-0.0499651177192661,TRUE,4,-0.604166132410195,0,-0.700187860442891,52,"","2014-11-01 11:54:00",1,0,4
25,8,"Intercultural",1,"Ethnic","F",6,"1",1.36363636363636,"1",1.54545454545455,"2",1.09090909090909,1,0.333333333333333,"Btwn bens","Btwn costs","",30,11,1,TRUE,TRUE,4,0,-0.875061907432913,1,0,-0.525888071249011,5,4,5,9,-0.0499651177192661,TRUE,4,-0.604166132410195,0,-0.700187860442891,52,"Yes","2014-11-01 11:54:00",1,0,5
86,8,"Intercultural",3,"Ethnic","F",6,"2",1.3,"1",1.6,"2",1.2,1,0.4,,,"",30,8,1,TRUE,TRUE,4,0,-0.875061907432913,1,0,-0.525888071249011,5,4,5,9,-0.0499651177192661,TRUE,4,-0.604166132410195,0,-0.700187860442891,52,"","2014-11-01 11:54:00",1,0,6
25,9,"Intercultural",1,"Ethnic","F",3,"2",1.36363636363636,"2",1.54545454545455,"2",1.09090909090909,0,0.333333333333333,"None","Btwn costs","",20,18,9,FALSE,FALSE,4,0,0.16763961382451,0,1.09861228866811,1.57139646243675,3,4,7,3,-1.80412727311094,TRUE,0,-0.823082457475345,0,-0.615508932176855,39,"Yes","2014-11-03 12:32:00",1,1,1
88,9,"Intercultural",3,"Ethnic","F",3,"2",1.33333333333333,"2",1.8,"2",1.33333333333333,0,0.571428571428571,,,"",20,-6,9,FALSE,FALSE,4,0,0.16763961382451,0,1.09861228866811,1.57139646243675,3,4,7,3,-1.80412727311094,TRUE,0,-0.823082457475345,0,-0.615508932176855,39,"","2014-11-03 12:32:00",1,1,2
35,9,"Intercultural",1,"Ethnic","F",3,"2",1.16666666666667,"2",1.125,"2",1.16,0,0.333333333333333,"None","Btwn costs","",20,8,9,FALSE,FALSE,4,0,0.16763961382451,0,1.09861228866811,1.57139646243675,3,4,7,3,-1.80412727311094,TRUE,0,-0.823082457475345,0,-0.615508932176855,39,"Yes","2014-11-03 12:32:00",1,1,3
23,9,"Intercultural",1,"Ethnic","F",3,"2",1.53846153846154,"2",1.30769230769231,"2",1.28,1,0.321428571428571,"None","Btwn costs","",20,-7,9,FALSE,FALSE,4,0,0.16763961382451,0,1.09861228866811,1.57139646243675,3,4,7,3,-1.80412727311094,TRUE,0,-0.823082457475345,0,-0.615508932176855,39,"Yes","2014-11-03 12:32:00",1,1,4
96,9,"Intercultural",3,"Ethnic","F",3,"2",1.85714285714286,"2",1.14285714285714,"2",1.46666666666667,0,0.6,,,"",20,9,9,FALSE,FALSE,4,0,0.16763961382451,0,1.09861228866811,1.57139646243675,3,4,7,3,-1.80412727311094,TRUE,0,-0.823082457475345,0,-0.615508932176855,39,"","2014-11-03 12:32:00",1,1,5
86,9,"Intercultural",3,"Ethnic","F",3,"2",1.3,"2",1.5,"2",1.2,0,0.5,,,"",20,18,9,FALSE,FALSE,4,0,0.16763961382451,0,1.09861228866811,1.57139646243675,3,4,7,3,-1.80412727311094,TRUE,0,-0.823082457475345,0,-0.615508932176855,39,"","2014-11-03 12:32:00",1,1,6
72,10,"Intercultural",1,"Religion","C",3,"2",1.8,"2",1.77777777777778,"2",1.45454545454545,1,0.727272727272727,"Btwn bens","Suffer discrim","",30,-2,9,TRUE,FALSE,6,0,-1.10618637382943,0,0.916290731874155,0.433013244611814,4,6,12,3,0.187929559348313,TRUE,2,1.14716446811101,1,-0.81309309813094,51,"Yes","2014-10-29 01:32:00",0,0,1
96,10,"Intercultural",1,"Religion","C",3,"2",1.86666666666667,"2",1.2,"2",1.5,1,0.5625,"Btwn bens","Suffer discrim","",30,-3,9,TRUE,FALSE,6,0,-1.10618637382943,0,0.916290731874155,0.433013244611814,4,6,12,3,0.187929559348313,TRUE,2,1.14716446811101,1,-0.81309309813094,51,"Yes","2014-10-29 01:32:00",0,0,2
68,10,"Intercultural",1,"Religion","C",3,"2",1.25,"2",1,"2",1.25,1,0.285714285714286,"Btwn bens","Suffer discrim","",30,2,9,TRUE,FALSE,6,0,-1.10618637382943,0,0.916290731874155,0.433013244611814,4,6,12,3,0.187929559348313,TRUE,2,1.14716446811101,1,-0.81309309813094,51,"Yes","2014-10-29 01:32:00",0,0,3
101,10,"Intercultural",3,"Religion","C",3,"2",1.6,"2",1.8,"2",1.63636363636364,1,0.636363636363636,,,"",30,-5,9,TRUE,FALSE,6,0,-1.10618637382943,0,0.916290731874155,0.433013244611814,4,6,12,3,0.187929559348313,TRUE,2,1.14716446811101,1,-0.81309309813094,51,"","2014-10-29 01:32:00",0,0,4
116,10,"Intercultural",3,"Religion","C",3,"2",1.5,"1",1.1,"2",1.4,1,0.545454545454545,,,"",30,-2,9,TRUE,FALSE,6,0,-1.10618637382943,0,0.916290731874155,0.433013244611814,4,6,12,3,0.187929559348313,TRUE,2,1.14716446811101,1,-0.81309309813094,51,"","2014-10-29 01:32:00",0,0,5
35,10,"Intercultural",3,"Religion","C",3,"2",1.1304347826087,"2",1.08695652173913,"2",1.125,1,0.307692307692308,,,"",30,-4,9,TRUE,FALSE,6,0,-1.10618637382943,0,0.916290731874155,0.433013244611814,4,6,12,3,0.187929559348313,TRUE,2,1.14716446811101,1,-0.81309309813094,51,"","2014-10-29 01:32:00",0,0,6
86,11,"Intercultural",3,"Ethnic","D",4,"2",1.3,"2",1.5,"2",1.2,1,0.4,"Btwn bens","Btwn costs","",20,18,9,FALSE,TRUE,6,0,0.726300466885802,1,0,-0.414621534171741,4,10,12,3,-0.455948624887356,TRUE,0,-0.385249807345044,1,0.767580229501738,36,"Many","2014-12-10 02:35:00",1,0,1
35,11,"Intercultural",1,"Ethnic","D",2,"2",1.16666666666667,"2",1.125,"2",1.16,1,0.333333333333333,"Btwn bens","None","Neutral",20,11,9,FALSE,TRUE,6,0,0.726300466885802,1,0,-0.414621534171741,4,10,12,3,-0.455948624887356,TRUE,0,-0.385249807345044,1,0.767580229501738,36,"Yes","2014-12-10 02:35:00",1,0,2
113,11,"Intercultural",3,"Ethnic","D",3,"1",1.5,"2",1.5,"2",1.22222222222222,1,0.555555555555556,"Btwn bens","Btwn costs","",20,10,9,FALSE,TRUE,6,0,0.726300466885802,1,0,-0.414621534171741,4,10,12,3,-0.455948624887356,TRUE,0,-0.385249807345044,1,0.767580229501738,36,"Many","2014-12-10 02:35:00",1,0,3
25,11,"Intercultural",1,"Ethnic","D",4,"2",1.36363636363636,"2",1.54545454545455,"2",1.09090909090909,1,0.333333333333333,"Btwn bens","None","Neutral",20,18,9,FALSE,TRUE,6,0,0.726300466885802,1,0,-0.414621534171741,4,10,12,3,-0.455948624887356,TRUE,0,-0.385249807345044,1,0.767580229501738,36,"Yes","2014-12-10 02:35:00",1,0,4
70,11,"Intercultural",3,"Ethnic","D",3,"2",1.66666666666667,"2",1.33333333333333,"2",1.5,1,0.666666666666667,"Btwn bens","Btwn costs","",20,-2,9,FALSE,TRUE,6,0,0.726300466885802,1,0,-0.414621534171741,4,10,12,3,-0.455948624887356,TRUE,0,-0.385249807345044,1,0.767580229501738,36,"Many","2014-12-10 02:35:00",1,0,5
23,11,"Intercultural",1,"Ethnic","D",2,"2",1.53846153846154,"2",1.30769230769231,"2",1.28,1,0.321428571428571,"Btwn bens","None","Neutral",20,-4,9,FALSE,TRUE,6,0,0.726300466885802,1,0,-0.414621534171741,4,10,12,3,-0.455948624887356,TRUE,0,-0.385249807345044,1,0.767580229501738,36,"Yes","2014-12-10 02:35:00",1,0,6
48,12,"Intercultural",2,"Religion","A",0,"1",0.363636363636364,"2",1.72727272727273,"2",0.714285714285714,1,0.12,"Within bens","Bad","Negative",10,3,7,TRUE,TRUE,7,0,-0.725106152449459,1,1.70474809223843,1.73653200842277,8,8,14.5,3,0.128455890081418,TRUE,0,2.89849506863221,1,1.55791689331808,30,"Many","2014-12-04 12:34:00",0,1,1
105,12,"Intercultural",1,"Religion","A",0,"1",0,"2",1.5,"2",0,1,0.5,"Good","Suffer discrim","Negative",10,-1,7,TRUE,TRUE,7,0,-0.725106152449459,1,1.70474809223843,1.73653200842277,8,8,14.5,3,0.128455890081418,TRUE,0,2.89849506863221,1,1.55791689331808,30,"Yes","2014-12-04 12:34:00",0,1,2
23,12,"Intercultural",2,"Religion","A",0,"2",1.52,"2",1.28,"2",1.25,1,0.296296296296296,"Within bens","Bad","Negative",10,2,7,TRUE,TRUE,7,0,-0.725106152449459,1,1.70474809223843,1.73653200842277,8,8,14.5,3,0.128455890081418,TRUE,0,2.89849506863221,1,1.55791689331808,30,"Many","2014-12-04 12:34:00",0,1,3
101,12,"Intercultural",2,"Religion","A",3,"2",1.6,"2",1.8,"2",1.63636363636364,1,0.636363636363636,"Within bens","Bad","Negative",10,16,7,TRUE,TRUE,7,0,-0.725106152449459,1,1.70474809223843,1.73653200842277,8,8,14.5,3,0.128455890081418,TRUE,0,2.89849506863221,1,1.55791689331808,30,"Many","2014-12-04 12:34:00",0,1,4
91,12,"Intercultural",1,"Religion","A",0,"2",1.6,"2",1.2,"2",1.8,1,0.8,"Good","Suffer discrim","Negative",10,4,7,TRUE,TRUE,7,0,-0.725106152449459,1,1.70474809223843,1.73653200842277,8,8,14.5,3,0.128455890081418,TRUE,0,2.89849506863221,1,1.55791689331808,30,"Yes","2014-12-04 12:34:00",0,1,5
96,12,"Intercultural",1,"Religion","A",15,"1",1.86666666666667,"2",1.2,"2",1.5,1,0.5625,"Good","Suffer discrim","Negative",10,18,7,TRUE,TRUE,7,0,-0.725106152449459,1,1.70474809223843,1.73653200842277,8,8,14.5,3,0.128455890081418,TRUE,0,2.89849506863221,1,1.55791689331808,30,"Yes","2014-12-04 12:34:00",0,1,6
